Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
6/20/2019,12:00:00,171,-999,0.122283,-999,0.131565,-999,-999,0.144736,0.146211,0.155887,-999,-999,-999,-999,0.175212,-999,0.174582,0.190397,-999,0.199535,-999,-999,-999,4.48502,0.141626,0.144607,-999,-999,-999,-999,-999,-999,-999,0.716254,-999,-999,-999,0,73,0,73,0,0,73,73,73,0,0,0,0,73,0,73,73,0,73,0,0,0,73,73,73,0,0,0,0,0,0,0,73,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/21/2019,12:00:00,172,-999,0.170031,-999,0.183275,-999,-999,0.201074,0.203965,0.21461,-999,-999,-999,-999,0.234012,-999,0.234866,0.250859,-999,0.26041,-999,-999,-999,3.668599,0.198097,0.199716,-999,-999,-999,-999,-999,-999,-999,0.572008,-999,-999,-999,0,98,0,98,0,0,98,98,98,0,0,0,0,98,0,98,98,0,98,0,0,0,98,98,98,0,0,0,0,0,0,0,98,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/22/2019,12:00:00,173,-999,0.146766,-999,0.158899,-999,-999,0.177893,0.181533,0.194355,-999,-999,-999,-999,0.216673,-999,0.217845,0.237509,-999,0.250209,-999,-999,-999,3.978617,0.174801,0.175403,-999,-999,-999,-999,-999,-999,-999,0.748137,-999,-999,-999,0,19,0,19,0,0,19,19,19,0,0,0,0,19,0,19,19,0,19,0,0,0,19,19,19,0,0,0,0,0,0,0,19,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/23/2019,12:00:00,174,-999,0.129221,-999,0.140093,-999,-999,0.157848,0.162246,0.173462,-999,-999,-999,-999,0.192393,-999,0.193408,0.210461,-999,0.221075,-999,-999,-999,3.699575,0.154468,0.155667,-999,-999,-999,-999,-999,-999,-999,0.735589,-999,-999,-999,0,129,0,129,0,0,129,129,129,0,0,0,0,129,0,129,129,0,129,0,0,0,129,129,129,0,0,0,0,0,0,0,129,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/24/2019,12:00:00,175,-999,0.101137,-999,0.113163,-999,-999,0.132972,0.137715,0.151085,-999,-999,-999,-999,0.172986,-999,0.174742,0.194952,-999,0.207758,-999,-999,-999,3.775357,0.129239,0.130299,-999,-999,-999,-999,-999,-999,-999,1.004734,-999,-999,-999,0,102,0,102,0,0,102,102,102,0,0,0,0,102,0,102,102,0,102,0,0,0,102,102,102,0,0,0,0,0,0,0,102,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/25/2019,12:00:00,176,-999,0.29713,-999,0.316393,-999,-999,0.340058,0.3438,0.353825,-999,-999,-999,-999,0.371023,-999,0.370631,0.384094,-999,0.391318,-999,-999,-999,3.729427,0.336535,0.338164,-999,-999,-999,-999,-999,-999,-999,0.315892,-999,-999,-999,0,119,0,119,0,0,119,119,119,0,0,0,0,119,0,119,118,0,119,0,0,0,119,119,119,0,0,0,0,0,0,0,119,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/26/2019,12:00:00,177,-999,0.207994,-999,0.224612,-999,-999,0.249176,0.254142,0.267611,-999,-999,-999,-999,0.289806,-999,0.29067,0.310466,-999,0.322672,-999,-999,-999,4.368389,0.244709,0.2459,-999,-999,-999,-999,-999,-999,-999,0.559464,-999,-999,-999,0,81,0,81,0,0,81,81,81,0,0,0,0,81,0,81,81,0,81,0,0,0,81,81,81,0,0,0,0,0,0,0,81,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/27/2019,12:00:00,178,-999,0.088353,-999,0.099301,-999,-999,0.118119,0.12306,0.136079,-999,-999,-999,-999,0.157672,-999,0.159405,0.180432,-999,0.194639,-999,-999,-999,3.814734,0.11519,0.11558,-999,-999,-999,-999,-999,-999,-999,1.086318,-999,-999,-999,0,80,0,80,0,0,80,80,80,0,0,0,0,80,0,80,80,0,80,0,0,0,80,80,80,0,0,0,0,0,0,0,80,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/28/2019,12:00:00,179,-999,0.100407,-999,0.108524,-999,-999,0.120795,0.12235,0.131575,-999,-999,-999,-999,0.150598,-999,0.149443,0.165031,-999,0.174358,-999,-999,-999,4.704022,0.118318,0.120767,-999,-999,-999,-999,-999,-999,-999,0.854934,-999,-999,-999,0,46,0,46,0,0,46,46,46,0,0,0,0,46,0,46,46,0,46,0,0,0,46,46,46,0,0,0,0,0,0,0,46,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/30/2019,12:00:00,181,-999,0.070976,-999,0.075089,-999,-999,0.078948,0.077766,0.082311,-999,-999,-999,-999,0.096392,-999,0.093537,0.103077,-999,0.107019,-999,-999,-999,4.815945,0.076797,0.08102,-999,-999,-999,-999,-999,-999,-999,0.764796,-999,-999,-999,0,18,0,18,0,0,18,18,18,0,0,0,0,18,0,18,18,0,18,0,0,0,18,18,18,0,0,0,0,0,0,0,18,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/1/2019,12:00:00,182,-999,0.049389,-999,0.054877,-999,-999,0.061834,0.06165,0.068842,-999,-999,-999,-999,0.086183,-999,0.084744,0.097901,-999,0.104075,-999,-999,-999,4.361851,0.059994,0.06292,-999,-999,-999,-999,-999,-999,-999,1.256484,-999,-999,-999,0,85,0,85,0,0,85,85,85,0,0,0,0,85,0,85,85,0,84,0,0,0,85,84,85,0,0,0,0,0,0,0,85,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/2/2019,12:00:00,183,-999,0.078401,-999,0.083313,-999,-999,0.090589,0.090508,0.096821,-999,-999,-999,-999,0.11183,-999,0.110132,0.121613,-999,0.12795,-999,-999,-999,4.2467,0.088506,0.091216,-999,-999,-999,-999,-999,-999,-999,0.895494,-999,-999,-999,0,75,0,75,0,0,74,75,75,0,0,0,0,75,0,75,75,0,75,0,0,0,75,75,75,0,0,0,0,0,0,0,75,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/3/2019,12:00:00,184,-999,0.121937,-999,0.137265,-999,-999,0.173072,0.183285,0.207994,-999,-999,-999,-999,0.2443,-999,0.250279,0.287208,-999,0.312738,-999,-999,-999,5.182602,0.167578,0.165623,-999,-999,-999,-999,-999,-999,-999,1.37478,-999,-999,-999,0,42,0,42,0,0,42,42,42,0,0,0,0,42,0,42,42,0,42,0,0,0,42,42,42,0,0,0,0,0,0,0,42,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/4/2019,12:00:00,185,-999,0.10113,-999,0.117133,-999,-999,0.15484,0.166359,0.192635,-999,-999,-999,-999,0.230022,-999,0.237562,0.276758,-999,0.304195,-999,-999,-999,4.680371,0.14917,0.146944,-999,-999,-999,-999,-999,-999,-999,1.586755,-999,-999,-999,0,50,0,50,0,0,50,50,50,0,0,0,0,50,0,50,50,0,50,0,0,0,50,50,50,0,0,0,0,0,0,0,50,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/5/2019,12:00:00,186,-999,0.053004,-999,0.059402,-999,-999,0.070432,0.071204,0.080618,-999,-999,-999,-999,0.101075,-999,0.098997,0.115284,-999,0.124689,-999,-999,-999,5.264335,0.067033,0.070458,-999,-999,-999,-999,-999,-999,-999,1.313893,-999,-999,-999,0,2,0,2,0,0,2,2,2,0,0,0,0,2,0,2,2,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/6/2019,12:00:00,187,-999,0.071031,-999,0.075025,-999,-999,0.080444,0.080404,0.084611,-999,-999,-999,-999,0.097395,-999,0.094283,0.103202,-999,0.107597,-999,-999,-999,4.835409,0.078268,0.081376,-999,-999,-999,-999,-999,-999,-999,0.667017,-999,-999,-999,0,54,0,54,0,0,54,54,54,0,0,0,0,54,0,54,54,0,54,0,0,0,54,54,54,0,0,0,0,0,0,0,54,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/7/2019,12:00:00,188,-999,0.174994,-999,0.179406,-999,-999,0.185593,0.185311,0.190034,-999,-999,-999,-999,0.203911,-999,0.200699,0.210837,-999,0.21615,-999,-999,-999,5.090606,0.182566,0.186713,-999,-999,-999,-999,-999,-999,-999,0.339403,-999,-999,-999,0,65,0,65,0,0,65,65,65,0,0,0,0,65,0,65,65,0,65,0,0,0,65,65,65,0,0,0,0,0,0,0,65,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/10/2019,12:00:00,191,-999,0.141488,-999,0.145918,-999,-999,0.153947,0.154772,0.161392,-999,-999,-999,-999,0.176771,-999,0.175089,0.187185,-999,0.194171,-999,-999,-999,4.427314,0.151488,0.15423,-999,-999,-999,-999,-999,-999,-999,0.586464,-999,-999,-999,0,41,0,41,0,0,41,41,41,0,0,0,0,41,0,41,41,0,41,0,0,0,41,41,41,0,0,0,0,0,0,0,41,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/11/2019,12:00:00,192,-999,0.092663,-999,0.098286,-999,-999,0.108713,0.110195,0.117755,-999,-999,-999,-999,0.134115,-999,0.132532,0.145637,-999,0.153155,-999,-999,-999,4.59628,0.105602,0.108756,-999,-999,-999,-999,-999,-999,-999,0.789961,-999,-999,-999,0,39,0,39,0,0,39,39,39,0,0,0,0,39,0,39,39,0,39,0,0,0,39,39,39,0,0,0,0,0,0,0,39,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/13/2019,12:00:00,194,-999,0.240665,-999,0.252865,-999,-999,0.267276,0.267923,0.275344,-999,-999,-999,-999,0.292041,-999,0.289496,0.301061,-999,0.307052,-999,-999,-999,4.720303,0.264035,0.268069,-999,-999,-999,-999,-999,-999,-999,0.315775,-999,-999,-999,0,23,0,23,0,0,23,23,23,0,0,0,0,23,0,23,23,0,23,0,0,0,23,23,23,0,0,0,0,0,0,0,23,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/14/2019,12:00:00,195,-999,0.142174,-999,0.151899,-999,-999,0.163685,0.164837,0.171442,-999,-999,-999,-999,0.186414,-999,0.183946,0.194459,-999,0.199732,-999,-999,-999,4.548963,0.160838,0.163956,-999,-999,-999,-999,-999,-999,-999,0.453066,-999,-999,-999,0,129,0,129,0,0,129,129,129,0,0,0,0,129,0,129,129,0,129,0,0,0,129,129,129,0,0,0,0,0,0,0,129,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/15/2019,12:00:00,196,-999,0.124194,-999,0.13239,-999,-999,0.1397,0.139503,0.144152,-999,-999,-999,-999,0.15684,-999,0.154331,0.162545,-999,0.166093,-999,-999,-999,3.96255,0.137688,0.14115,-999,-999,-999,-999,-999,-999,-999,0.42668,-999,-999,-999,0,107,0,107,0,0,107,107,107,0,0,0,0,107,0,107,107,0,107,0,0,0,107,107,107,0,0,0,0,0,0,0,107,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/16/2019,12:00:00,197,-999,0.039436,-999,0.046067,-999,-999,0.055233,0.05551,0.063371,-999,-999,-999,-999,0.08157,-999,0.079266,0.092544,-999,0.099886,-999,-999,-999,5.005755,0.053263,0.05564,-999,-999,-999,-999,-999,-999,-999,1.397651,-999,-999,-999,0,54,0,54,0,0,54,54,54,0,0,0,0,54,0,54,54,0,54,0,0,0,54,54,54,0,0,0,0,0,0,0,54,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/17/2019,12:00:00,198,-999,0.04113,-999,0.048039,-999,-999,0.060177,0.062909,0.070853,-999,-999,-999,-999,0.087047,-999,0.085898,0.099637,-999,0.108021,-999,-999,-999,4.719813,0.057491,0.058937,-999,-999,-999,-999,-999,-999,-999,1.307386,-999,-999,-999,0,36,0,36,0,0,36,36,36,0,0,0,0,36,0,36,36,0,36,0,0,0,36,36,36,0,0,0,0,0,0,0,36,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/19/2019,12:00:00,200,-999,0.047073,-999,0.056107,-999,-999,0.072547,0.076474,0.087344,-999,-999,-999,-999,0.106667,-999,0.10615,0.122587,-999,0.132905,-999,-999,-999,4.543086,0.069304,0.070706,-999,-999,-999,-999,-999,-999,-999,1.34298,-999,-999,-999,0,51,0,51,0,0,51,51,51,0,0,0,0,51,0,51,51,0,51,0,0,0,51,50,51,0,0,0,0,0,0,0,51,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/20/2019,12:00:00,201,-999,0.0645,-999,0.070734,-999,-999,0.080644,0.081617,0.089146,-999,-999,-999,-999,0.10629,-999,0.104139,0.11704,-999,0.124223,-999,-999,-999,4.872698,0.078478,0.080979,-999,-999,-999,-999,-999,-999,-999,1.008904,-999,-999,-999,0,43,0,43,0,0,43,43,43,0,0,0,0,43,0,43,43,0,43,0,0,0,43,43,43,0,0,0,0,0,0,0,43,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/21/2019,12:00:00,202,-999,0.07944,-999,0.085356,-999,-999,0.093078,0.092906,0.09998,-999,-999,-999,-999,0.117508,-999,0.115055,0.127875,-999,0.13487,-999,-999,-999,4.945671,0.09187,0.094424,-999,-999,-999,-999,-999,-999,-999,0.859825,-999,-999,-999,0,35,0,35,0,0,35,35,35,0,0,0,0,35,0,35,35,0,35,0,0,0,35,35,35,0,0,0,0,0,0,0,35,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/22/2019,12:00:00,203,-999,0.052649,-999,0.059805,-999,-999,0.071534,0.073419,0.082271,-999,-999,-999,-999,0.100575,-999,0.099361,0.114533,-999,0.123658,-999,-999,-999,4.646932,0.069322,0.071609,-999,-999,-999,-999,-999,-999,-999,1.225249,-999,-999,-999,0,72,0,72,0,0,72,72,72,0,0,0,0,72,0,72,72,0,72,0,0,0,72,72,72,0,0,0,0,0,0,0,72,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/23/2019,12:00:00,204,-999,0.037404,-999,0.043428,-999,-999,0.052408,0.052914,0.060247,-999,-999,-999,-999,0.07744,-999,0.075123,0.088114,-999,0.095114,-999,-999,-999,4.730121,0.050814,0.054027,-999,-999,-999,-999,-999,-999,-999,1.37816,-999,-999,-999,0,62,0,62,0,0,62,62,62,0,0,0,0,62,0,62,62,0,62,0,0,0,62,62,62,0,0,0,0,0,0,0,62,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/24/2019,12:00:00,205,-999,0.039437,-999,0.046925,-999,-999,0.059807,0.061717,0.070431,-999,-999,-999,-999,0.08797,-999,0.086755,0.101606,-999,0.110037,-999,-999,-999,4.762395,0.056078,0.059533,-999,-999,-999,-999,-999,-999,-999,1.407063,-999,-999,-999,0,55,0,55,0,0,55,55,55,0,0,0,0,54,0,54,54,0,54,0,0,0,55,54,55,0,0,0,0,0,0,0,55,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/25/2019,12:00:00,206,-999,0.035386,-999,0.041254,-999,-999,0.051127,0.051564,0.059411,-999,-999,-999,-999,0.077148,-999,0.075307,0.088982,-999,0.096892,-999,-999,-999,4.743378,0.047745,0.052421,-999,-999,-999,-999,-999,-999,-999,1.490867,-999,-999,-999,0,4,0,4,0,0,4,4,4,0,0,0,0,4,0,4,4,0,4,0,0,0,4,4,4,0,0,0,0,0,0,0,4,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/26/2019,12:00:00,207,-999,0.044264,-999,0.049822,-999,-999,0.059325,0.060292,0.066812,-999,-999,-999,-999,0.082311,-999,0.080296,0.092536,-999,0.099304,-999,-999,-999,4.735175,0.056014,0.059954,-999,-999,-999,-999,-999,-999,-999,1.182857,-999,-999,-999,0,40,0,40,0,0,40,40,40,0,0,0,0,40,0,40,40,0,40,0,0,0,40,40,40,0,0,0,0,0,0,0,40,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/27/2019,12:00:00,208,-999,0.03147,-999,0.038249,-999,-999,0.04761,0.047936,0.055311,-999,-999,-999,-999,0.072645,-999,0.07089,0.083867,-999,0.090736,-999,-999,-999,4.773759,0.044866,0.048631,-999,-999,-999,-999,-999,-999,-999,1.540109,-999,-999,-999,0,91,0,91,0,0,91,91,91,0,0,0,0,91,0,91,91,0,91,0,0,0,91,91,91,0,0,0,0,0,0,0,91,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/28/2019,12:00:00,209,-999,0.032478,-999,0.039613,-999,-999,0.050031,0.05101,0.059053,-999,-999,-999,-999,0.076762,-999,0.075534,0.089358,-999,0.097188,-999,-999,-999,4.579411,0.047244,0.049986,-999,-999,-999,-999,-999,-999,-999,1.577827,-999,-999,-999,0,83,0,83,0,0,83,83,83,0,0,0,0,83,0,83,83,0,83,0,0,0,83,83,83,0,0,0,0,0,0,0,83,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/29/2019,12:00:00,210,-999,0.032782,-999,0.040186,-999,-999,0.051705,0.05324,0.061969,-999,-999,-999,-999,0.080266,-999,0.079416,0.094415,-999,0.10339,-999,-999,-999,4.549528,0.048602,0.051809,-999,-999,-999,-999,-999,-999,-999,1.610039,-999,-999,-999,0,102,0,102,0,0,102,102,102,0,0,0,0,102,0,102,102,0,102,0,0,0,102,102,102,0,0,0,0,0,0,0,102,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/30/2019,12:00:00,211,-999,0.027799,-999,0.033275,-999,-999,0.040833,0.0409,0.047397,-999,-999,-999,-999,0.063375,-999,0.061027,0.072933,-999,0.0794,-999,-999,-999,4.41608,0.038431,0.042893,-999,-999,-999,-999,-999,-999,-999,1.569274,-999,-999,-999,0,74,0,74,0,0,74,74,74,0,0,0,0,74,0,74,74,0,74,0,0,0,74,74,74,0,0,0,0,0,0,0,74,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
7/31/2019,12:00:00,212,-999,0.038072,-999,0.043701,-999,-999,0.052707,0.054035,0.05993,-999,-999,-999,-999,0.074288,-999,0.072011,0.083457,-999,0.089856,-999,-999,-999,4.663965,0.049973,0.053348,-999,-999,-999,-999,-999,-999,-999,1.242574,-999,-999,-999,0,27,0,28,0,0,28,28,28,0,0,0,0,28,0,28,28,0,28,0,0,0,28,27,28,0,0,0,0,0,0,0,28,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
